x,y,shot_distance,shot_angle,body_part,is_goal
113.6,37.8,6.767569726275458,0.3310960767041322,Head,1
115.8,36.6,5.40370243444252,0.6805212246672139,Head,1
108.1,54.6,18.8353391262276,0.8869345761373157,Right Foot,1
116.4,46.8,7.694153624668533,1.083897094983628,Right Foot,1
83.9,32.7,36.83069372140579,0.1995254820816378,Right Foot,1
112.9,47.4,10.255242561733969,0.8060848671772928,Head,1
111.7,40.8,8.338465086573185,0.0960887155173666,Right Foot,1
112.1,28.8,13.705838172107535,0.9564840059944064,Left Foot,1
115.6,42.0,4.8332183894378336,0.4266274931268756,Head,1
108.0,40.0,12.0,0.0,Right Foot,1
108.0,40.0,12.0,0.0,Right Foot,1
108.2,32.3,14.090067423543436,0.5781604016760562,Left Foot,1
104.3,54.2,21.169081227110453,0.7352729620056598,Right Foot,1
116.6,45.0,6.046486583132393,0.9736196687022184,Head,1
104.0,41.0,16.0312195418814,0.0624188099959573,Right Foot,1
112.6,35.9,8.459905436823753,0.505950399271076,Right Foot,1
117.8,40.4,2.2360679774997925,0.1798534997924774,Left Foot,1
110.8,29.8,13.736083866954225,0.8368989743486736,Left Foot,1
112.5,43.3,8.193900170248597,0.4145068745847856,Right Foot,1
111.0,37.7,9.289241088485108,0.2502005477776404,Right Foot,1
118.9,41.2,1.6278820596099688,0.8288490587889829,Left Foot,1
97.2,49.1,24.54893073027825,0.3797499476045953,Right Foot,1
109.9,32.0,12.884486796143642,0.6698924953669448,Right Foot,1
109.9,31.9,12.94681427996864,0.6759472142560853,Left Foot,1
108.2,39.2,11.82708755357801,0.0676930226939684,Left Foot,1
100.0,67.4,33.92285365354749,0.940266188627545,Left Foot,1
110.6,51.0,14.469277798148743,0.863669303918726,Right Foot,1
118.8,40.4,1.264911064067354,0.3217505543966404,Head,1
117.1,48.2,8.69770084562582,1.2308659573252756,Right Foot,1
118.3,42.8,3.275667870831839,1.0251412722679036,Right Foot,1
102.1,35.2,18.532404053441105,0.2619927280082444,Left Foot,1
112.3,39.6,7.710382610480496,0.0519013984581727,Head,1
113.5,30.6,11.428473213863697,0.9658050665645336,Left Foot,1
112.9,41.3,7.218032973047429,0.1810926565312184,Head,1
107.9,39.8,12.10165277968261,0.016527420602721,Right Foot,1
97.3,37.1,22.884492565927697,0.1270650150126922,Left Foot,1
112.6,35.0,8.930845424706447,0.5942137038004335,Head,1
115.8,38.9,4.341658669218486,0.2561513825656036,Head,1
103.1,62.9,28.460850303530997,0.9350252116105529,Left Foot,1
108.1,40.1,11.900420160649796,0.0084031635476471,Left Foot,1
114.7,32.5,9.183681179135084,0.955610088682923,Right Foot,1
108.1,40.1,11.900420160649796,0.0084031635476471,Left Foot,1
105.3,64.1,28.22941728056036,1.0230865547096135,Left Foot,1
113.5,27.8,13.823530663329104,1.0812645324303771,Left Foot,1
109.2,46.1,12.403628501370072,0.5141461559125649,Right Foot,1
112.0,52.8,15.094369811290564,1.012197011451334,Right Foot,1
116.6,36.6,4.808326112068526,0.7853981633974473,Left Foot,1
113.4,39.4,6.627216610312351,0.0906598872007454,Right Foot,1
117.3,43.4,4.341658669218482,0.8996524913588871,Head,1
115.1,40.2,4.904079934095697,0.0407936828678659,Head,1
116.8,41.5,3.534119409414461,0.4383365598579574,Head,1
113.3,35.8,7.907591289387689,0.5599397971143885,Head,1
117.2,38.8,3.0463092423455618,0.4048917862850846,Head,1
114.9,41.0,5.197114584074508,0.1936219928559455,Head,1
101.3,42.9,18.92353032602532,0.1538546311462675,Left Foot,1
116.3,35.9,5.522680508593633,0.8366353308008669,Right Foot,1
117.1,36.2,4.780167361086849,0.9189272124893184,Head,1
113.8,41.3,6.334824385884744,0.2066832184842487,Left Foot,1
113.2,50.7,12.677933585565118,1.004672069875146,Right Foot,1
115.1,36.8,5.852349955359819,0.5785242144177051,Right Foot,1
109.6,31.6,13.368619973654726,0.679413805407848,Right Foot,1
118.1,36.0,4.428317965096908,1.127347990375157,Left Foot,1
114.6,45.8,7.924645102463582,0.8210972760767715,Right Foot,1
112.7,32.3,10.61037228376083,0.8120585117720467,Head,1
108.9,42.1,11.296902230257633,0.1869792699189113,Right Foot,1
109.4,38.5,10.705606008068852,0.1405760514095579,Right Foot,1
109.3,43.1,11.1400179533069,0.2819987790007942,Head,1
114.1,45.1,7.798717843338101,0.7127987096669534,Head,1
113.9,40.5,6.120457499239737,0.081784380617996,Left Foot,1
108.2,40.1,11.800423721205943,0.0084743734029707,Right Foot,1
110.2,38.6,9.899494936611662,0.1418970546041638,Right Foot,1
113.0,42.1,7.3082145562373855,0.2914567944778672,Right Foot,1
116.0,38.5,4.272001872658765,0.3587706702705722,Right Foot,1
113.8,39.1,6.2649820430708365,0.144154387113154,Right Foot,1
112.8,42.9,7.762087348130014,0.3828987170459431,Right Foot,1
115.3,44.0,6.171709649683792,0.7051113481144315,Left Foot,1
116.4,47.9,8.681589716175255,1.1432155451102706,Head,1
108.3,40.2,11.701709276853537,0.017092352397717,Right Foot,1
111.7,44.0,9.213576938409966,0.4490855316080676,Right Foot,1
107.9,39.9,12.100413216084808,0.0082642746596512,Right Foot,1
103.1,24.2,23.13547060251856,0.7517716996537402,Left Foot,1
116.5,39.7,3.512833614050059,0.0855052936782038,Head,1
107.8,36.9,12.587692401707317,0.2488322085991475,Left Foot,1
115.0,44.2,6.529931086925806,0.6986598247214635,Right Foot,1
108.4,37.2,11.93314711214103,0.2368487609469201,Right Foot,1
114.5,39.4,5.532630477449222,0.108661215840588,Right Foot,1
113.2,36.1,7.839005038906401,0.5207283914070707,Head,1
113.5,43.2,7.244998274671984,0.4574748478960255,Right Foot,1
115.9,29.9,10.900458705944445,1.1851792616402457,Left Foot,1
114.9,41.7,5.37587202228624,0.321750554396643,Right Foot,1
106.6,26.2,19.23538406167135,0.8001029857752996,Left Foot,1
108.0,40.0,12.0,0.0,Right Foot,1
115.1,71.6,31.97764844387404,1.4169582210233402,Left Foot,1
113.7,37.2,6.894200461257269,0.4182243295792289,Head,1
106.4,41.8,13.718600511714008,0.1315881414579205,Right Foot,1
107.9,44.7,12.980754985747163,0.3704924057065741,Right Foot,1
112.9,39.9,7.100704190430687,0.0140835758228604,Right Foot,1
108.0,40.0,12.0,0.0,Left Foot,1
86.3,45.8,34.195467535917686,0.1704370896516592,Right Foot,1
108.1,30.1,15.479664079042546,0.6939111465259401,Right Foot,1
94.5,29.5,27.577164466275352,0.3906070436976868,Left Foot,1
115.7,38.2,4.661544808322662,0.3964412832184409,Head,1
113.2,40.0,6.799999999999997,0.0,Right Foot,1
110.0,20.0,22.360679774997894,1.1071487177940904,Left Foot,1
99.6,36.5,20.69806754264756,0.1699143283892676,Right Foot,1
